disciplina,area,durata_anni,territorio,tipo_territorio,contratti_annui_totali,contratti_quinquennio_2026_2031,tasso_abbandono_stimato,nuovi_specialisti_effettivi_5anni,stock_medici_attivi,quota_pensionandi_60plus,pensionamenti_stimati_2026_2031,delta_demografico_target_pct,target_demografico,qol_score_base,notti_mese,reperibilita_mese,ore_settimanali,classe_rischio_legale,indice_burnout,rep_lorda_annua,rep_netta_annua,rep_privato_stimato
Ematologia,Medica,4,Friuli-Venezia Giulia,Regione,4,20,0.05,19,29,0.38,11,7.69,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Lazio,Regione,20,100,0.05,95,140,0.38,53,11.48,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Liguria,Regione,5,25,0.05,24,37,0.399,15,6.51,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Lombardia,Regione,35,175,0.05,166,248,0.361,90,10.72,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Marche,Regione,5,25,0.05,24,36,0.38,14,8.41,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Molise,Regione,1,5,0.05,5,7,0.399,3,6.78,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Piemonte,Regione,15,75,0.05,71,105,0.38,40,6.84,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Puglia,Regione,13,65,0.05,62,95,0.38,36,9.8,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Sardegna,Regione,5,25,0.05,24,38,0.38,14,9.57,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Sicilia,Regione,17,85,0.05,81,117,0.399,47,9.46,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Toscana,Regione,13,65,0.05,62,90,0.38,34,7.45,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Umbria,Regione,3,15,0.05,14,21,0.38,8,7.61,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Valle d'Aosta,Regione,0,0,0.05,0,3,0.38,1,10.58,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,Veneto,Regione,17,85,0.05,81,119,0.361,43,11.23,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,P.A. Bolzano,Regione,2,10,0.05,10,13,0.361,5,15.77,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Ematologia,Medica,4,P.A. Trento,Regione,2,10,0.05,10,13,0.361,5,12.85,over65,58.3,2.5,3.0,44,2,65,94600.0,52000.0,16500.0
Endocrinologia e malattie del metabolismo,Medica,4,Italia (Nazionale),Nazionale,200,1000,0.02,980,1100,0.38,418,8.5,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Abruzzo,Regione,4,20,0.02,20,24,0.38,9,9.03,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Basilicata,Regione,2,10,0.02,10,10,0.399,4,8.52,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
Endocrinologia e malattie del metabolismo,Medica,4,Calabria,Regione,6,30,0.02,29,34,0.399,14,9.5,over65,85.3,0.5,1.0,40,1,45,122900.0,67600.0,46400.0
